t,x,tf,ts
0.6240625,0.895,1.0057153,1.0024536
0.7835125,0.778,1.1881108,1.1086667
0.39810625,0.469,1.0132631,1.0058874
0.41590625,0.948,0.9999032,1.0001318
0.94975,0.457,2.5395923,2.195209
0.4155844,0.479,1.0217347,1.0096006
0.7788031,0.993,1.0331833,1.0230622
0.2395625,0.723,1.0002252,1.0002797
0.34712186,0.067,3.1131084,1.6329129
0.27600312,0.428,1.0001453,0.99997085
0.7563844,0.833,1.0943305,1.0516579
0.8521375,0.145,3.5498307,3.1103952
0.010440625,0.428,1.0000647,1.0001068
0.76192814,0.558,1.6685785,1.4302851
0.78310627,0.866,1.0918846,1.0520418
0.7272969,0.916,1.0293694,1.0162195
0.33194062,0.864,1.0001578,1.0002708
0.09474687,0.245,1.0000215,1.0000558
0.7635375,0.671,1.3489356,1.2095954
0.30922812,0.423,1.0001831,1.0001069
0.5528125,0.908,1.0004839,0.9999531
0.3321875,0.062,3.0859675,1.5449866
0.33334374,0.416,1.0007119,1.000397
0.1943375,0.477,1.0001531,1.0001152
0.62570935,0.292,2.4405153,1.9520185
0.5650906,0.054,3.6854777,2.708966
0.47165,0.67,1.003247,1.0017034
0.10005,0.987,1.000306,1.0000368
0.19085938,0.363,0.9999559,0.99999803
0.62282187,0.675,1.0977705,1.049711
0.74158126,0.764,1.1490247,1.0826576
0.6104031,0.299,2.348642,1.8695416
0.8722344,0.355,2.7825186,2.3943174
0.17785938,0.646,1.0002716,1.0001953
0.9010625,0.996,1.1158081,1.0845656
0.8485906,0.264,3.1080205,2.6926177
0.7830125,0.141,3.4961667,2.9956367
0.13966562,0.86,1.0002327,1.000133
0.73228127,0.03,3.883198,3.1548538
0.21408124,0.047,1.0001411,0.9995215
0.7942156,0.774,1.2097305,1.1227932
0.8735875,0.274,3.1104598,2.7089906
0.7812156,0.942,1.0463893,1.0288215
0.46109375,0.032,3.7492244,2.3630905
0.6484906,0.061,3.7116182,2.9256737
0.46017814,0.748,1.0002714,1.0002534
0.21534374,0.882,1.000224,1.0002506
0.117725,0.059,0.999459,0.9998572
0.7674406,0.54,1.7476172,1.4891244
0.5031094,0.972,0.99999857,0.9998307
0.0718875,0.071,0.99966025,0.9999764
0.8274438,0.259,3.0919285,2.664404
0.6725063,0.651,1.2084503,1.1144483
0.26907814,0.388,1.0001668,0.99993813
0.62630624,0.695,1.0824804,1.0415777
0.90775,0.211,3.386478,2.9993138
0.80255,0.133,3.5456507,3.05785
0.41985938,0.209,2.056268,1.4656276
0.3369875,0.829,1.0001447,1.0002584
0.864825,0.089,3.7371688,3.2714758
0.27018124,0.127,1.0858753,1.0098754
0.26585,0.749,1.000193,1.0003163
0.6926594,0.472,1.786277,1.4984
0.62850624,0.189,3.0271227,2.4175634
0.9445375,0.321,3.0502307,2.6824765
0.9517625,0.514,2.323867,2.0015688
0.2793531,0.098,1.5037724,1.0617791
0.6064219,0.665,1.0877142,1.0440145
0.1833875,0.819,1.000237,1.0002049
0.28625312,0.792,1.0001833,1.0003221
0.53220624,0.092,3.4118166,2.4829574
0.4147781,0.986,0.99983966,1.0001677
0.5724844,0.104,3.401824,2.58148
0.34860626,0.09,2.8032703,1.5548105
0.21351562,0.699,1.0002685,1.000237
0.62045,0.652,1.1207057,1.0620791
0.699875,0.374,2.252584,1.8536365
0.5399125,0.424,1.447711,1.2353961
0.20965625,0.758,1.0002542,1.0002375
0.6489844,0.085,3.597415,2.8659809
0.29826564,0.122,1.6140053,1.1113791
0.26657814,0.159,1.0112416,1.0008893
0.5831031,0.702,1.0386909,1.0185759
0.07404062,0.642,1.0001382,1.000148
0.18878438,0.971,1.0002558,1.0002115
0.8777281,0.825,1.2557961,1.159849
0.5386875,0.23,2.5063648,1.9052947
0.2852,0.16,1.1036417,1.0173745
0.68785936,0.478,1.7467929,1.4689327
0.34965,0.105,2.6065018,1.5005815
0.5357937,0.045,3.7164905,2.6319094
0.8522125,0.331,2.840642,2.4400277
0.8176719,0.423,2.3638377,1.9964237
0.5878375,0.657,1.0735587,1.036318
0.5487,0.58,1.1016197,1.0497264
0.168375,0.047,0.9995413,0.99958265
0.33147812,0.212,1.2749063,1.0769813
0.16375,0.938,1.000253,1.0001695
0.8211719,0.723,1.3499104,1.215816
0.10628437,0.655,1.0001713,1.0001628
0.14460938,0.133,0.9995744,0.9997525
0.821625,0.657,1.5129284,1.32826
0.28113437,0.411,1.0002233,0.99996555
0.08136562,0.208,1.00003,1.0000577
0.54214686,0.467,1.3120308,1.1602306
0.30480936,0.205,1.0985079,1.0225288
0.7044875,0.53,1.6031011,1.3726376
0.34082812,0.248,1.1792111,1.0546348
0.8626469,0.148,3.549351,3.1192913
0.4214125,0.474,1.029613,1.0129561
0.27840313,0.886,1.0001879,1.0003005
0.15299375,0.376,0.99996924,0.99999577
0.8629063,0.705,1.4770775,1.3080113
0.8484219,0.029,3.911809,3.3392844
0.11491875,0.073,0.99950624,0.99987495
0.9455031,0.698,1.6759799,1.4655364
0.4366625,0.233,1.9749062,1.4504362
0.19215937,0.633,1.0002819,1.0002006
0.474425,0.676,1.0031881,1.0016655
0.5342031,0.229,2.4955454,1.8917172
0.07443125,0.144,0.9999213,1.0000206
0.90980315,0.739,1.4892797,1.3225337
0.533,0.634,1.0374756,1.0178459
0.9357,0.594,1.9897274,1.7131124
0.48566562,0.824,1.0001587,1.0000614
0.0733125,0.727,1.0001674,1.0000969
0.73340315,0.92,1.0307109,1.0172322
0.7792969,0.757,1.2132047,1.1238936
0.6118719,0.398,1.8332953,1.502268
0.112678126,0.823,1.0002213,1.0001001
0.7196531,0.546,1.5917847,1.3678117
0.8255531,0.21,3.284266,2.8451848
